time,step,loss/overall_loss
1752682950.5525792,38,3.177795886993408
1752682950.5526152,38,3.1183156967163086
1752682950.5527883,38,2.895200729370117
1752682950.5528824,78,1.9219979047775269
1752682950.5529802,78,2.2055625915527344
1752682950.5530922,78,2.0485739707946777
1752682950.5532284,118,1.8003756999969482
1752682950.5533998,118,1.9694526195526123
1752682950.5541112,118,1.8847248554229736
1752682950.5541344,158,1.966021180152893
1752682950.5541508,158,1.7997629642486572
1752682950.5541666,158,1.7330102920532227
1752682950.5541813,198,1.9638382196426392
1752682950.5543463,198,1.8659504652023315
1752682950.5544698,198,1.7881885766983032
1752682950.5545928,238,1.8542207479476929
1752682950.5547807,238,1.8584377765655518
1752682950.5547938,238,1.8270304203033447
1752682950.5548043,278,1.8143478631973267
1752682950.5548835,278,1.8297431468963623
1752682950.5550008,278,1.84834623336792
1752682950.5550857,318,1.760162115097046
1752682950.5551689,318,1.8640230894088745
1752682950.5552735,318,1.7754909992218018
1752682950.555284,358,1.8200794458389282
1752682950.5553968,358,1.835064172744751
1752682950.5554848,358,1.812774896621704
1752682950.5555708,398,1.916829228401184
1752682950.555743,398,1.7438410520553589
1752682950.5557542,398,1.8044490814208984
1752682950.5562248,438,1.7919923067092896
1752682950.5563977,438,1.7327673435211182
1752682950.556503,438,1.7377358675003052
1752682950.5566013,478,1.8379348516464233
1752682950.5566988,478,1.7866272926330566
1752682950.5567942,478,1.840834379196167
1752682950.5568895,518,1.8454995155334473
1752682950.5569744,518,1.8774192333221436
1752682950.557069,518,1.8327745199203491
1752682950.557272,558,1.8390079736709595
1752682950.5572884,558,1.7480229139328003
1752682950.5573947,558,1.9159444570541382
1752682950.5575144,598,1.8728795051574707
1752682950.557612,598,1.7015118598937988
1752682950.5577085,598,1.9019207954406738
1752682950.5578322,638,1.7960247993469238
1752682950.5578432,638,1.8457717895507812
1752682950.5579543,638,1.8333377838134766
1752682950.558039,678,1.790084958076477
1752682950.5581334,678,1.7581658363342285
1752682950.558305,678,1.8737634420394897
1752682950.5583985,718,1.812170147895813
1752682950.558491,718,1.8839726448059082
1752682950.5585895,758,1.7652866840362549
1752682950.5586758,758,1.8799774646759033
1752682950.558772,798,1.829915165901184
1752682950.5589092,798,1.8520448207855225
1752682950.5589218,838,1.8505908250808716
1752682950.5590074,838,1.8512208461761475
1752682950.5590935,878,1.873191237449646
1752682950.5591834,878,1.8600760698318481
1752682950.5592995,918,1.8296971321105957
1752682950.5601723,918,1.720583438873291
1752682950.5609128,958,1.8032615184783936
1752682950.561101,958,1.8765058517456055
1752682950.561311,998,1.7664493322372437
1752682950.5614169,998,1.7067900896072388
1752682950.561494,1038,1.7313882112503052
1752682950.5616715,1038,1.846192717552185
1752682950.5616844,1078,1.7770922183990479
1752682950.5618284,1078,1.6852920055389404
1752682950.5619504,1118,1.7643567323684692
1752682950.5621862,1118,1.682639241218567
1752682950.5622299,1158,1.8022416830062866
1752682950.562248,1158,1.8042842149734497
1752682950.5624166,1198,1.7948882579803467
1752682950.562555,1198,1.8425698280334473
1752682950.5626755,1238,1.714964509010315
1752682950.5627837,1238,1.777685284614563
1752682950.5628874,1278,1.6755728721618652
1752682950.5630329,1278,1.8047007322311401
1752682950.563048,1318,1.7592010498046875
1752682950.5632107,1318,1.7937448024749756
1752682950.5632248,1358,1.864830732345581
1752682950.5634544,1358,1.724320411682129
1752682950.5636168,1398,1.7148207426071167
1752682950.56363,1398,1.8246212005615234
1752682950.5637949,1438,1.7638568878173828
1752682950.5638068,1438,1.783929467201233
1752682950.5639083,1478,1.715672492980957
1752682950.5641327,1478,1.7404710054397583
1752682950.5641487,1518,1.6922515630722046
1752682950.5641658,1518,1.911092758178711
1752682950.5642889,1558,1.674200177192688
1752682950.5643,1558,1.7576398849487305
1752682950.5644042,1598,1.6564860343933105
1752682950.564517,1598,1.732761025428772
1752682950.5646377,1638,1.656785011291504
1752682950.5646486,1638,1.8100746870040894
1752682950.564776,1678,1.6926584243774414
1752682950.5647871,1678,1.7235844135284424
1752682950.5649142,1718,1.6660375595092773
1752682950.5649257,1718,1.8113579750061035
1752682950.5650246,1758,1.65751051902771
1752682950.5669606,1758,1.8566511869430542
1752682950.5669773,1798,1.6529312133789062
1752682950.566989,1798,1.765261173248291
1752682950.567,1838,1.715028166770935
1752682950.5670104,1838,1.7376019954681396
1752682950.5670207,1878,1.6283245086669922
1752682950.5672069,1878,1.6988999843597412
1752682950.5672214,1918,1.601035237312317
1752682950.5674517,1918,1.7372915744781494
1752682950.5674672,1958,1.6568430662155151
1752682950.5674782,1958,1.7027504444122314
1752682950.567639,1998,1.6794099807739258
1752682950.5676498,1998,1.712148666381836
1752682950.5678017,2038,1.6959996223449707
1752682950.567815,2038,1.7292288541793823
1752682950.5679371,2078,1.6606136560440063
1752682950.5680535,2078,1.8048957586288452
1752682950.5680656,2118,1.7521723508834839
1752682950.5682414,2118,1.7069365978240967
1752682950.568254,2158,1.6535155773162842
1752682950.5689414,2158,1.7269493341445923
1752682950.5690587,2198,1.658898115158081
