time,step,stage1_objectness_prec
1752682957.2314463,38,0.6150318384170532
1752682957.2314694,38,0.5604169964790344
1752682957.2316132,38,0.5783299207687378
1752682957.23189,78,0.6695367097854614
1752682957.2319074,78,0.6904280185699463
1752682957.2319221,78,0.6616697907447815
1752682957.2324314,118,0.6454129815101624
1752682957.232449,118,0.6801395416259766
1752682957.2324631,118,0.6781885623931885
1752682957.2324762,158,0.6804636716842651
1752682957.2324889,158,0.7053101062774658
1752682957.2325022,158,0.7483401894569397
1752682957.2325168,198,0.6561002731323242
1752682957.2325304,198,0.7161150574684143
1752682957.2325437,198,0.7198061943054199
1752682957.232641,238,0.6837185025215149
1752682957.233155,238,0.7508451342582703
1752682957.233174,238,0.7943946123123169
1752682957.233189,278,0.7341507077217102
1752682957.233203,278,0.7518465518951416
1752682957.2332165,278,0.8010221719741821
1752682957.2332294,318,0.7654651999473572
1752682957.2332423,318,0.7611008882522583
1752682957.2335558,318,0.8037927746772766
1752682957.2335744,358,0.7827668190002441
1752682957.2335901,358,0.8178966045379639
1752682957.2336032,358,0.8512882590293884
1752682957.2341526,398,0.815494954586029
1752682957.2341688,398,0.827110767364502
1752682957.234182,398,0.839233934879303
1752682957.234209,438,0.8499212861061096
1752682957.234227,438,0.8582301139831543
1752682957.2342405,438,0.8694378733634949
1752682957.2342536,478,0.8080170750617981
1752682957.234266,478,0.8132702708244324
1752682957.23428,478,0.8476812839508057
1752682957.2345636,518,0.8592247366905212
1752682957.2345805,518,0.8444415926933289
1752682957.2345953,518,0.8816310167312622
1752682957.2347975,558,0.830115556716919
1752682957.2349176,558,0.8652439117431641
1752682957.2350392,558,0.8775345683097839
1752682957.2351544,598,0.8529514074325562
1752682957.2356493,598,0.8777753710746765
1752682957.2356691,598,0.9008712768554688
1752682957.235682,638,0.86243736743927
1752682957.23583,638,0.8379391431808472
1752682957.2358425,638,0.8683817982673645
1752682957.236009,678,0.8867033123970032
1752682957.2360206,678,0.862582802772522
1752682957.2361994,678,0.8701912760734558
1752682957.236215,718,0.8787188529968262
1752682957.2363882,718,0.8890469670295715
1752682957.2364013,758,0.8911091089248657
1752682957.2366617,758,0.875114917755127
1752682957.2366765,798,0.8677777647972107
1752682957.2371159,798,0.8701055645942688
1752682957.237134,838,0.8891337513923645
1752682957.2371466,838,0.8717151284217834
1752682957.2371573,878,0.8879767060279846
1752682957.2373161,878,0.8972230553627014
1752682957.2374487,918,0.9023598432540894
1752682957.2375777,918,0.8688434362411499
1752682957.2376952,958,0.8847390413284302
1752682957.237784,958,0.8817501068115234
1752682957.2379584,998,0.8966851234436035
1752682957.2379768,998,0.9056865572929382
1752682957.2381136,1038,0.8930530548095703
1752682957.238126,1038,0.907516598701477
1752682957.238387,1078,0.8813595175743103
1752682957.2385256,1078,0.8946271538734436
1752682957.2386456,1118,0.894996702671051
1752682957.238895,1118,0.8711435794830322
1752682957.2389088,1158,0.8949461579322815
1752682957.23892,1158,0.8719273805618286
1752682957.2389312,1198,0.90008145570755
1752682957.239122,1198,0.9171937704086304
1752682957.239137,1238,0.8868120908737183
1752682957.239309,1238,0.8752115964889526
1752682957.239426,1278,0.9003419876098633
1752682957.2395911,1278,0.8762025833129883
1752682957.2396052,1318,0.9065001010894775
1752682957.2397773,1318,0.9053826332092285
1752682957.2397916,1358,0.8978720903396606
1752682957.2399213,1358,0.8881562948226929
1752682957.240056,1398,0.8861512541770935
1752682957.2401657,1398,0.8868794441223145
1752682957.240179,1438,0.8598200678825378
1752682957.2403328,1438,0.9105297327041626
1752682957.2405183,1478,0.900956392288208
1752682957.2406592,1478,0.9065908789634705
1752682957.2407925,1518,0.9045051336288452
1752682957.2409182,1518,0.8916894793510437
1752682957.240933,1558,0.9097001552581787
1752682957.2411003,1558,0.8881768584251404
1752682957.2412043,1598,0.8975377678871155
1752682957.241315,1598,0.8919880986213684
1752682957.2415335,1638,0.8790701031684875
1752682957.2416635,1638,0.8893417716026306
1752682957.2418287,1678,0.8972526788711548
1752682957.241844,1678,0.8967684507369995
1752682957.241943,1718,0.887561559677124
1752682957.2420688,1718,0.9021369218826294
1752682957.242177,1758,0.8936808705329895
1752682957.2423115,1758,0.9033886790275574
1752682957.2424333,1798,0.90889972448349
1752682957.2425473,1798,0.9080371260643005
1752682957.2426612,1838,0.8908218741416931
1752682957.2428102,1838,0.9119069576263428
1752682957.2430458,1878,0.8975651264190674
