time,step,loss/stage3_score_loss
1752682953.7158515,38,0.010197432711720467
1752682953.7159688,38,0.010546776466071606
1752682953.71608,38,0.010931643657386303
1752682953.716184,78,0.0027305278927087784
1752682953.7162824,78,0.005794653668999672
1752682953.71638,78,0.0037501007318496704
1752682953.7164662,118,0.0015907544875517488
1752682953.716571,118,0.006445622071623802
1752682953.716672,118,0.0018526336643844843
1752682953.7167704,158,0.001308223931118846
1752682953.716868,158,0.002168895909562707
1752682953.7169776,158,0.0015100645832717419
1752682953.7169886,198,0.0015818491810932755
1752682953.7170978,198,0.001400277717038989
1752682953.7172174,198,0.0020094311330467463
1752682953.7173374,238,0.0019140270305797458
1752682953.7174308,238,0.0012399470433592796
1752682953.7175353,238,0.0016222590347751975
1752682953.717721,278,0.002110158558934927
1752682953.717744,278,0.001277355127967894
1752682953.7177608,278,0.0014949733158573508
1752682953.7182915,318,0.0013772596139460802
1752682953.7183104,318,0.001321303308941424
1752682953.718323,318,0.0016257036477327347
1752682953.7183332,358,0.001178559847176075
1752682953.7183435,358,0.0014898532535880804
1752682953.7184405,358,0.0019742795266211033
1752682953.7187243,398,0.001548479893244803
1752682953.7187428,398,0.001643805531784892
1752682953.718883,398,0.0017306290101259947
1752682953.7190192,438,0.0015325184212997556
1752682953.7190318,438,0.0016807785723358393
1752682953.719338,438,0.001613510656170547
1752682953.719633,478,0.001573810470290482
1752682953.7198825,478,0.0016391122480854392
1752682953.7200706,478,0.002048002788797021
1752682953.7200882,518,0.0018130087992176414
1752682953.7201726,518,0.002073794836178422
1752682953.720587,518,0.0019544577226042747
1752682953.7207124,558,0.0017398366471752524
1752682953.7210004,558,0.0016796716954559088
1752682953.7210174,558,0.002144541358575225
1752682953.721031,598,0.0018892743391916156
1752682953.7210438,598,0.001820499892346561
1752682953.7210567,598,0.002130083041265607
1752682953.7211597,638,0.001750013791024685
1752682953.7214487,638,0.001891581923700869
1752682953.7215655,638,0.001911143772304058
1752682953.7216384,678,0.0020013845060020685
1752682953.7218373,678,0.0018557431176304817
1752682953.721857,678,0.0019584812689572573
1752682953.722802,718,0.001982680521905422
1752682953.7228217,718,0.0019912729039788246
1752682953.7228365,758,0.001982476096600294
1752682953.7230682,758,0.0019865420181304216
1752682953.7232327,798,0.001989858690649271
1752682953.7234826,798,0.0021611538249999285
1752682953.723502,838,0.001993360696360469
1752682953.7235162,838,0.002207069657742977
1752682953.723529,878,0.0021453695371747017
1752682953.7238512,878,0.0020288429223001003
1752682953.723869,918,0.002178267342969775
1752682953.7238839,918,0.0016918464098125696
1752682953.724008,958,0.0020789788104593754
1752682953.7241087,958,0.0020732933189719915
1752682953.7243927,998,0.0023624866735190153
1752682953.7244084,998,0.001856747199781239
1752682953.7244213,1038,0.002133576897904277
1752682953.724434,1038,0.002334620337933302
1752682953.7247598,1078,0.002130582695826888
1752682953.7247758,1078,0.0018810182809829712
1752682953.724789,1118,0.0022042749915271997
1752682953.7248015,1118,0.002117178402841091
1752682953.724814,1158,0.002306207548826933
1752682953.7251604,1158,0.002250516787171364
1752682953.7251859,1198,0.0022344994358718395
1752682953.725202,1198,0.0023223720490932465
1752682953.7253551,1238,0.0017835121834650636
1752682953.7254834,1238,0.001965877367183566
1752682953.7254994,1278,0.00193565315566957
1752682953.7260063,1278,0.0019707742612808943
1752682953.7260268,1318,0.0020469296723604202
1752682953.7260413,1318,0.001862053875811398
1752682953.7260554,1358,0.002349397400394082
1752682953.7260687,1358,0.0019502767827361822
1752682953.7260828,1398,0.0019399099983274937
1752682953.726096,1398,0.002234596759080887
1752682953.7261088,1438,0.002353799296543002
1752682953.7285748,1438,0.0023192318622022867
1752682953.7285938,1478,0.0021019638516008854
1752682953.7286084,1478,0.002036884892731905
1752682953.7286212,1518,0.0020912224426865578
1752682953.7286344,1518,0.002268174896016717
1752682953.7286468,1558,0.00198592827655375
1752682953.7286594,1558,0.0023838127963244915
1752682953.728672,1598,0.002150720451027155
1752682953.728685,1598,0.0018901509465649724
1752682953.7286973,1638,0.00189647963270545
1752682953.7291746,1638,0.0020353812724351883
1752682953.7291934,1678,0.0020287649240344763
1752682953.729207,1678,0.0017473046900704503
1752682953.7292209,1718,0.0021098435390740633
1752682953.7292354,1718,0.0022653464693576097
1752682953.7294793,1758,0.0021556883584707975
1752682953.7294958,1758,0.0021425664890557528
1752682953.7295098,1798,0.002374955452978611
1752682953.729741,1798,0.001937837223522365
1752682953.7299366,1838,0.002342366147786379
1752682953.7300603,1838,0.002028049435466528
1752682953.730172,1878,0.0023506367579102516
1752682953.7302928,1878,0.0020900883246213198
1752682953.7303984,1918,0.0022640512324869633
1752682953.7305086,1918,0.002111222594976425
1752682953.7306383,1958,0.0023574710357934237
1752682953.7307513,1958,0.0018205719534307718
1752682953.7309701,1998,0.002495718654245138
1752682953.7309875,1998,0.0022110515274107456
1752682953.731121,2038,0.002297788392752409
1752682953.731378,2038,0.0021628038957715034
1752682953.731395,2078,0.002153106266632676
1752682953.7314084,2078,0.002222682349383831
1752682953.731421,2118,0.002094522351399064
1752682953.7316308,2118,0.0020836254116147757
1752682953.7317483,2158,0.0022574074100703
1752682953.731899,2158,0.002445979043841362
1752682953.731915,2198,0.0023535978980362415
1752682953.7320888,2198,0.0021559649612754583
1752682953.7321045,2238,0.0019261293346062303
1752682953.732405,2238,0.0019091519061475992
1752682953.7324226,2278,0.0021650732960551977
1752682953.7324371,2278,0.001967845717445016
