time,step,graspable_count_stage1
1752682949.7373772,38,2959.699951171875
1752682949.7375884,38,3029.875
1752682949.7377055,38,2764.074951171875
1752682949.7377214,78,1536.4000244140625
1752682949.7377336,78,1516.5
1752682949.7377446,78,3223.175048828125
1752682949.737755,118,3802.925048828125
1752682949.737765,118,3555.72509765625
1752682949.7377746,118,3763.699951171875
1752682949.7377841,158,2689.89990234375
1752682949.7377934,158,3457.5
1752682949.7380853,158,4377.0498046875
1752682949.7382019,198,3768.175048828125
1752682949.73831,198,4496.64990234375
1752682949.7384205,198,4254.3251953125
1752682949.7385268,238,3477.35009765625
1752682949.7391942,238,4464.10009765625
1752682949.7394361,238,3797.89990234375
1752682949.739536,278,3480.175048828125
1752682949.7396283,278,4614.2998046875
1752682949.7397292,278,3373.14990234375
1752682949.739828,318,3747.375
1752682949.7399182,318,3656.050048828125
1752682949.7400465,318,2784.64990234375
1752682949.7400577,358,3775.625
1752682949.740255,358,3363.97509765625
1752682949.7404022,358,2840.47509765625
1752682949.7407784,398,3242.02490234375
1752682949.740798,398,3044.22509765625
1752682949.7412822,398,2747.925048828125
1752682949.7412972,438,3405.0
1752682949.741309,438,3159.300048828125
1752682949.7413204,438,2808.449951171875
1752682949.7413306,478,3145.949951171875
1752682949.7413406,478,2873.97509765625
1752682949.7413502,478,2582.52490234375
1752682949.74136,518,2437.22509765625
1752682949.74137,518,2958.89990234375
1752682949.743226,518,2395.074951171875
1752682949.7432423,558,2652.97509765625
1752682949.743254,558,2685.77490234375
1752682949.7432647,558,2518.14990234375
1752682949.743275,598,2561.675048828125
1752682949.7432845,598,2549.97509765625
1752682949.743294,598,2480.949951171875
1752682949.7433035,638,2483.824951171875
1752682949.743313,638,2242.074951171875
1752682949.743323,638,2187.949951171875
1752682949.7435198,678,2177.550048828125
1752682949.743535,678,2718.175048828125
1752682949.7436779,678,2570.5
1752682949.7437794,718,2479.699951171875
1752682949.7442205,718,2280.75
1752682949.744255,758,2710.875
1752682949.7442758,758,2404.22509765625
1752682949.7442942,798,2200.52490234375
1752682949.744395,798,2568.050048828125
1752682949.745416,838,2191.300048828125
1752682949.74544,838,2330.27490234375
1752682949.7454581,878,2606.39990234375
1752682949.7454758,878,2509.77490234375
1752682949.7458906,918,2755.699951171875
1752682949.7459142,918,2367.675048828125
1752682949.7459323,958,2040.4000244140625
1752682949.745951,958,2248.35009765625
1752682949.745967,998,2443.0
1752682949.7459836,998,2554.10009765625
1752682949.745999,1038,2413.22509765625
1752682949.7463748,1038,2141.125
1752682949.7463996,1078,2419.47509765625
1752682949.746419,1078,2477.324951171875
1752682949.7464359,1118,2210.375
1752682949.746648,1118,2077.27490234375
1752682949.7466714,1158,2437.14990234375
1752682949.7467775,1158,2449.64990234375
1752682949.7469122,1198,2405.875
1752682949.7469342,1198,2224.324951171875
1752682949.7469947,1238,2399.47509765625
1752682949.7471466,1238,2432.39990234375
1752682949.7471685,1278,2414.199951171875
1752682949.7472472,1278,1962.074951171875
1752682949.7473576,1318,2265.97509765625
1752682949.7473786,1318,2302.75
1752682949.7484365,1358,2394.675048828125
1752682949.748461,1358,2496.64990234375
1752682949.7484791,1398,2536.5
1752682949.748531,1398,2537.300048828125
1752682949.7485533,1438,2452.35009765625
1752682949.7485719,1438,2309.72509765625
1752682949.7485893,1478,2195.425048828125
1752682949.7486055,1478,2385.5
1752682949.748622,1518,2720.14990234375
1752682949.7490194,1518,2340.050048828125
1752682949.7490437,1558,2493.125
1752682949.7490625,1558,2510.425048828125
1752682949.7490804,1598,2127.27490234375
1752682949.7495544,1598,2590.425048828125
1752682949.7495773,1638,2617.425048828125
1752682949.7495956,1638,2165.27490234375
1752682949.7498953,1678,2338.574951171875
1752682949.7499182,1678,2205.824951171875
1752682949.749937,1718,2277.699951171875
1752682949.750185,1718,2313.449951171875
1752682949.750248,1758,2382.375
1752682949.7502723,1758,2401.5
1752682949.7507348,1798,2398.97509765625
1752682949.7507586,1798,2325.22509765625
1752682949.7507782,1838,2153.64990234375
1752682949.7507963,1838,2459.72509765625
1752682949.7508135,1878,2495.35009765625
1752682949.7512102,1878,2366.75
1752682949.7512326,1918,2466.300048828125
1752682949.7512507,1918,2202.77490234375
1752682949.7512681,1958,2366.22509765625
1752682949.7512848,1958,2401.125
1752682949.7513006,1998,2491.175048828125
1752682949.7515783,1998,2133.375
1752682949.7516007,2038,2242.35009765625
1752682949.7516184,2038,2438.89990234375
1752682949.751889,2078,2818.60009765625
1752682949.7519116,2078,2063.300048828125
1752682949.7519298,2118,2408.324951171875
1752682949.7524009,2118,2185.89990234375
1752682949.7524233,2158,2551.375
1752682949.7524364,2158,2254.675048828125
1752682949.7524483,2198,2149.35009765625
1752682949.7524817,2198,1948.175048828125
1752682949.7525005,2238,2144.949951171875
1752682949.752513,2238,2206.02490234375
1752682949.7525241,2278,2415.425048828125
1752682949.752676,2278,2274.85009765625
1752682949.752766,2318,2174.925048828125
1752682949.7528853,2318,2101.625
1752682949.753058,2358,2316.39990234375
1752682949.7530699,2358,2723.425048828125
1752682949.753158,2398,2117.199951171875
1752682949.7532704,2398,2312.75
1752682949.7533662,2438,2134.25
1752682949.753477,2438,2159.824951171875
1752682949.753596,2478,2333.800048828125
1752682949.7536666,2478,1929.3499755859375
1752682949.7537339,2518,2051.675048828125
1752682949.7537992,2518,2215.89990234375
1752682949.7538645,2558,2188.27490234375
1752682949.75392,2558,2378.97509765625
1752682949.7540102,2598,2239.75
1752682949.75407,2598,2237.27490234375
1752682949.754135,2638,2180.074951171875
1752682949.7542124,2638,2322.300048828125
1752682949.7549896,2678,2081.625
1752682949.7552056,2678,2252.0
1752682949.7553225,2718,2195.85009765625
1752682949.7556334,2718,2393.050048828125
1752682949.7556503,2758,2240.199951171875
1752682949.755664,2758,2123.875
1752682949.755675,2798,2140.199951171875
1752682949.7558575,2838,2125.64990234375
1752682949.7559614,2878,2389.02490234375
1752682949.756063,2918,1922.199951171875
1752682949.7561638,2958,2297.050048828125
1752682949.756257,2998,1983.25
1752682949.7567582,3038,2233.5
1752682949.756783,3078,2353.77490234375
1752682949.7569356,3118,2013.175048828125
1752682949.757363,3158,2130.074951171875
1752682949.7573824,3198,2126.5
1752682949.7573965,3238,2305.824951171875
1752682949.7574108,3278,2197.699951171875
1752682949.7574239,3318,2337.5
1752682949.757437,3358,2361.625
1752682949.7574496,3398,1940.199951171875
1752682949.7574794,3438,2181.375
1752682949.7578425,3478,2199.925048828125
1752682949.7578595,3518,2363.0
1752682949.7578743,3558,2099.425048828125
1752682949.7578883,3598,2023.199951171875
1752682949.7582223,3638,2168.074951171875
1752682949.7582388,3678,2231.52490234375
1752682949.7582521,3718,2389.25
1752682949.7582662,3758,2197.64990234375
1752682949.7582803,3798,2351.175048828125
1752682949.758612,3838,2203.300048828125
1752682949.7586286,3878,2043.5999755859375
1752682949.758643,3918,2103.35009765625
1752682949.758656,3958,2183.35009765625
1752682949.75899,3998,2059.02490234375
1752682949.7590048,4038,2073.925048828125
1752682949.759018,4078,2147.074951171875
1752682949.7590315,4118,2162.64990234375
1752682949.7590735,4158,2267.125
1752682949.7592685,4198,2368.39990234375
1752682949.7596354,4238,2250.875
1752682949.759655,4278,1965.699951171875
1752682949.75967,4318,1979.75
1752682949.7596838,4358,2053.89990234375
1752682949.7596974,4398,2021.5250244140625
1752682949.7597106,4438,2076.89990234375
1752682949.7597232,4478,2105.375
1752682949.7601001,4518,2135.60009765625
1752682949.760115,4558,2494.800048828125
1752682949.760128,4598,2314.27490234375
1752682949.7601411,4638,2079.77490234375
1752682949.760154,4678,2343.625
1752682949.7603226,4718,2059.074951171875
1752682949.7603374,4758,2207.574951171875
1752682949.7607799,4798,1975.324951171875
1752682949.7607973,4838,2086.10009765625
1752682949.7608113,4878,2192.10009765625
1752682949.7608247,4918,2245.949951171875
1752682949.7608387,4958,1978.4000244140625
1752682949.7608511,4998,2259.875
1752682949.760972,5038,2275.300048828125
1752682949.7612884,5078,1923.5
1752682949.7613075,5118,1957.0999755859375
1752682949.7613225,5158,2239.75
1752682949.7613363,5198,2338.175048828125
1752682949.7615695,5238,2298.25
1752682949.7615886,5278,2240.449951171875
1752682949.761749,5318,2414.199951171875
1752682949.7617655,5358,1975.4000244140625
1752682949.7619162,5398,2151.47509765625
1752682949.7619305,5438,2231.449951171875
1752682949.7621515,5478,2359.39990234375
1752682949.7621725,5518,2479.89990234375
1752682949.762187,5558,1920.199951171875
1752682949.7625847,5598,2337.52490234375
1752682949.7626028,5638,2109.074951171875
1752682949.7626176,5678,1937.8499755859375
1752682949.7626312,5718,1819.1500244140625
1752682949.7626443,5758,2182.89990234375
1752682949.762657,5798,2369.074951171875
1752682949.7630954,5838,2101.125
1752682949.7631097,5878,2342.60009765625
1752682949.7631233,5918,1975.800048828125
1752682949.763136,5958,2130.60009765625
1752682949.763149,5998,1933.0250244140625
1752682949.7631614,6038,2029.425048828125
1752682949.7631736,6078,2219.675048828125
1752682949.7636514,6118,2085.875
1752682949.763671,6158,1843.6500244140625
1752682949.7636862,6198,2415.050048828125
