time,step,stage1_objectness_recall
1752682958.1215184,38,0.5345391035079956
1752682958.1215582,38,0.5535876750946045
1752682958.1220107,38,0.567195475101471
1752682958.1220381,78,0.27533334493637085
1752682958.122368,78,0.4331926107406616
1752682958.1225739,78,0.5936040878295898
1752682958.122736,118,0.6021532416343689
1752682958.1228547,118,0.6541137099266052
1752682958.1232386,118,0.639286994934082
1752682958.1232595,158,0.5232079029083252
1752682958.1232736,158,0.7615221738815308
1752682958.123289,158,0.8309516310691833
1752682958.1235187,198,0.6707652807235718
1752682958.1236746,198,0.7424888610839844
1752682958.1238136,198,0.8132357597351074
1752682958.1239536,238,0.5919439196586609
1752682958.1240945,238,0.7642549276351929
1752682958.1242368,238,0.7883704304695129
1752682958.1244078,278,0.6454089879989624
1752682958.1245604,278,0.8164709210395813
1752682958.124709,278,0.7970439195632935
1752682958.1248524,318,0.7155609130859375
1752682958.1249933,318,0.7506205439567566
1752682958.1251454,318,0.8589367270469666
1752682958.1253216,358,0.7001818418502808
1752682958.1256323,358,0.7941614389419556
1752682958.1258016,358,0.8341731429100037
1752682958.1259527,398,0.7903513312339783
1752682958.1261182,398,0.8457136750221252
1752682958.1263244,398,0.8309645056724548
1752682958.1265118,438,0.7988336086273193
1752682958.1266634,438,0.8157532215118408
1752682958.1268115,438,0.8556615710258484
1752682958.1269655,478,0.8208454251289368
1752682958.127138,478,0.8364664912223816
1752682958.127728,478,0.867559015750885
1752682958.1277463,518,0.7969574928283691
1752682958.1277585,518,0.8592311143875122
1752682958.12777,518,0.8468403816223145
1752682958.1277807,558,0.8424014449119568
1752682958.1277916,558,0.846777617931366
1752682958.1278021,558,0.8699352145195007
1752682958.1278121,598,0.8531474471092224
1752682958.1278222,598,0.8720091581344604
1752682958.127833,598,0.8413718342781067
1752682958.1285374,638,0.8102071285247803
1752682958.128576,638,0.8439170718193054
1752682958.1286013,638,0.8477047085762024
1752682958.128621,678,0.8440732359886169
1752682958.128639,678,0.8303367495536804
1752682958.1286561,678,0.8711057901382446
1752682958.128993,718,0.85458904504776
1752682958.1290245,718,0.8372122645378113
1752682958.1290464,758,0.8676289916038513
1752682958.1293442,758,0.8394506573677063
1752682958.1293766,798,0.8708046078681946
1752682958.1293986,798,0.8516206741333008
1752682958.1296759,838,0.8522043228149414
1752682958.1297035,838,0.8792957067489624
1752682958.129725,878,0.8457609415054321
1752682958.1301398,878,0.8475746512413025
1752682958.1301684,918,0.872577965259552
1752682958.1302059,918,0.8674581050872803
1752682958.1302772,958,0.8750560879707336
1752682958.13031,958,0.8680548667907715
1752682958.1303346,998,0.8737526535987854
1752682958.130907,998,0.8674289584159851
1752682958.130937,1038,0.8618857860565186
1752682958.1309593,1038,0.8666402101516724
1752682958.1309812,1078,0.8870959281921387
1752682958.1312106,1078,0.8690440058708191
1752682958.131324,1118,0.8614604473114014
1752682958.131427,1118,0.9027427434921265
1752682958.1315799,1158,0.8830720782279968
1752682958.131683,1158,0.8768370747566223
1752682958.1318107,1198,0.8735973834991455
1752682958.131904,1198,0.8217330574989319
1752682958.1320179,1238,0.8640606999397278
1752682958.132139,1238,0.8783971667289734
1752682958.1322453,1278,0.8918110728263855
1752682958.1323593,1278,0.8804972171783447
1752682958.1324806,1318,0.8694738149642944
1752682958.1326003,1318,0.8527525067329407
1752682958.1326144,1358,0.8966773152351379
1752682958.1327972,1358,0.8781285285949707
1752682958.1328952,1398,0.8487489819526672
1752682958.132998,1398,0.8637283444404602
1752682958.1331115,1438,0.8983660340309143
1752682958.1332462,1438,0.8935142159461975
1752682958.1334677,1478,0.87617027759552
1752682958.1334932,1478,0.8818122744560242
1752682958.1336753,1518,0.8515391945838928
1752682958.133912,1518,0.8657663464546204
1752682958.1340644,1558,0.8881675004959106
1752682958.1341724,1558,0.8831300735473633
1752682958.134324,1598,0.8723562359809875
1752682958.1344407,1598,0.8678726553916931
1752682958.1345649,1638,0.8710305690765381
1752682958.1346824,1638,0.8825889825820923
1752682958.1346955,1678,0.8562198281288147
1752682958.1350284,1678,0.8762128949165344
1752682958.1351914,1718,0.8788738250732422
1752682958.135323,1718,0.884412944316864
1752682958.1356618,1758,0.8794770836830139
1752682958.1358333,1758,0.8794972896575928
1752682958.136007,1798,0.8595454096794128
1752682958.1361458,1798,0.8710243105888367
1752682958.1362975,1838,0.8902947306632996
1752682958.1364264,1838,0.889251172542572
1752682958.1365476,1878,0.8934319019317627
1752682958.1366274,1878,0.904497504234314
1752682958.1367974,1918,0.8946691751480103
1752682958.1369212,1918,0.8684901595115662
1752682958.1370337,1958,0.8771674633026123
1752682958.137133,1958,0.8861281275749207
1752682958.1372414,1998,0.8887413740158081
1752682958.137349,1998,0.9043224453926086
1752682958.1374562,2038,0.8546590805053711
1752682958.1375625,2038,0.8855239152908325
1752682958.1377466,2078,0.8843608498573303
1752682958.1379423,2078,0.8962575197219849
1752682958.1380746,2118,0.888980507850647
1752682958.1380901,2118,0.890123724937439
1752682958.1383622,2158,0.8845588564872742
1752682958.138511,2158,0.890038251876831
1752682958.138653,2198,0.901382565498352
1752682958.138753,2198,0.8939314484596252
1752682958.138913,2238,0.874867856502533
1752682958.1390264,2238,0.9015371203422546
1752682958.1391323,2278,0.8876994848251343
1752682958.1392558,2278,0.8922933340072632
1752682958.1393626,2318,0.9006034731864929
1752682958.1394815,2318,0.9035042524337769
1752682958.1395988,2358,0.8972334861755371
1752682958.1397154,2358,0.8960478901863098
1752682958.1398711,2398,0.875369131565094
1752682958.1399927,2398,0.8989650011062622
1752682958.1400752,2438,0.8863522410392761
1752682958.1402476,2438,0.9013339281082153
1752682958.140594,2478,0.915412425994873
1752682958.1406145,2478,0.8812764286994934
1752682958.1407583,2518,0.8684095144271851
1752682958.140948,2518,0.896520733833313
1752682958.1410966,2558,0.8957785964012146
1752682958.1412663,2558,0.9002282619476318
1752682958.141353,2598,0.9039674997329712
1752682958.1414618,2598,0.8750357627868652
1752682958.1415694,2638,0.9132381677627563
1752682958.1417267,2638,0.9002506136894226
1752682958.141745,2678,0.9046190977096558
1752682958.14188,2678,0.8765224814414978
1752682958.1419916,2718,0.8825831413269043
1752682958.14209,2718,0.8936046361923218
1752682958.142221,2758,0.8983561396598816
1752682958.1423316,2758,0.8872624635696411
1752682958.1424499,2798,0.9102862477302551
1752682958.1425493,2838,0.8963613510131836
1752682958.1426597,2878,0.8954495787620544
1752682958.1427565,2918,0.9043045043945312
1752682958.1428316,2958,0.9107455611228943
1752682958.1429565,2998,0.8996288776397705
1752682958.143068,3038,0.9155070185661316
1752682958.1432002,3078,0.8888375163078308
1752682958.1432905,3118,0.8904881477355957
1752682958.1434445,3158,0.8986691832542419
1752682958.1435525,3198,0.8678892254829407
1752682958.1436644,3238,0.9009568095207214
1752682958.143776,3278,0.9192323088645935
1752682958.1439052,3318,0.9047608375549316
1752682958.1444902,3358,0.9078142642974854
1752682958.1445081,3398,0.8944587111473083
1752682958.144521,3438,0.9006237983703613
1752682958.1445327,3478,0.9124588966369629
1752682958.1445444,3518,0.9099103808403015
1752682958.144555,3558,0.912764847278595
1752682958.1445668,3598,0.8998054265975952
1752682958.1445782,3638,0.9011932611465454
1752682958.1445901,3678,0.8944527506828308
1752682958.1446013,3718,0.8956950902938843
1752682958.1448195,3758,0.9075862169265747
1752682958.1449394,3798,0.9012175798416138
1752682958.1451554,3838,0.8832268118858337
1752682958.14517,3878,0.9090665578842163
1752682958.1455963,3918,0.9094474911689758
1752682958.1456175,3958,0.9096657633781433
1752682958.1456316,3998,0.8924822211265564
1752682958.1456444,4038,0.9165183305740356
1752682958.1460283,4078,0.9145715236663818
1752682958.146093,4118,0.9140384197235107
1752682958.1461084,4158,0.9182181358337402
1752682958.1461213,4198,0.896355390548706
1752682958.1463592,4238,0.9129473567008972
1752682958.1464758,4278,0.8950175642967224
1752682958.1465967,4318,0.907906711101532
1752682958.1467113,4358,0.8990963101387024
1752682958.1468241,4398,0.8934199810028076
1752682958.1469355,4438,0.9176104068756104
1752682958.1470475,4478,0.9241088628768921
1752682958.1471615,4518,0.8864091038703918
1752682958.1474423,4558,0.9144213795661926
1752682958.1474605,4598,0.908642590045929
1752682958.147595,4638,0.9066044092178345
1752682958.1477318,4678,0.8666948676109314
1752682958.1478763,4718,0.8868589997291565
1752682958.1489038,4758,0.9035776853561401
1752682958.1490333,4798,0.9049288630485535
1752682958.1491115,4838,0.9085137844085693
1752682958.1493537,4878,0.9160436391830444
1752682958.1494935,4918,0.9189913868904114
1752682958.1496193,4958,0.9012894630432129
1752682958.1497853,4998,0.9190646409988403
1752682958.14995,5038,0.9219849109649658
1752682958.1500487,5078,0.9090110063552856
1752682958.1501637,5118,0.9105805158615112
1752682958.1502976,5158,0.9140979647636414
1752682958.1506295,5198,0.9291973114013672
1752682958.1508713,5238,0.9198683500289917
1752682958.15103,5278,0.9244734644889832
1752682958.1511917,5318,0.9112234711647034
1752682958.1513288,5358,0.9159484505653381
1752682958.1514654,5398,0.9231603741645813
1752682958.1517217,5438,0.9135916829109192
1752682958.1517487,5478,0.9158625602722168
1752682958.151767,5518,0.9137113094329834
1752682958.1520338,5558,0.8980625867843628
1752682958.1521716,5598,0.9285680055618286
1752682958.1523542,5638,0.911532998085022
1752682958.1527214,5678,0.9047306776046753
1752682958.1527514,5718,0.9106984734535217
1752682958.1527693,5758,0.9167782664299011
1752682958.152785,5798,0.9115028381347656
1752682958.1528,5838,0.9164597392082214
1752682958.1528146,5878,0.925158679485321
1752682958.1532352,5918,0.9152376055717468
1752682958.1532838,5958,0.9137654304504395
1752682958.1533077,5998,0.9080211520195007
1752682958.1536803,6038,0.9165799021720886
1752682958.153711,6078,0.9248716831207275
1752682958.1537287,6118,0.9106864929199219
1752682958.1537452,6158,0.9100278615951538
1752682958.1537614,6198,0.9237769246101379
1752682958.1537812,6238,0.9086202383041382
1752682958.1542323,6278,0.9038375020027161
1752682958.1542675,6318,0.9147145748138428
1752682958.1546824,6358,0.9202516674995422
1752682958.154705,6398,0.9102550745010376
1752682958.154722,6438,0.9153624773025513
1752682958.1547396,6478,0.9191880226135254
1752682958.1547656,6518,0.9063361287117004
1752682958.154781,6558,0.9152708053588867
1752682958.1552198,6598,0.9109051823616028
1752682958.1554012,6638,0.9161576628684998
1752682958.1556346,6678,0.9151398539543152
1752682958.1558359,6718,0.9183902144432068
1752682958.155986,6758,0.9189997911453247
1752682958.156127,6798,0.9172075986862183
1752682958.156311,6838,0.9181512594223022
1752682958.1564848,6878,0.911011278629303
1752682958.1566348,6918,0.9082513451576233
1752682958.1568258,6958,0.9233226180076599
1752682958.156845,6998,0.9136129021644592
1752682958.157009,7038,0.9158751368522644
1752682958.1572523,7078,0.9047256112098694
1752682958.157272,7118,0.9166756272315979
1752682958.1573133,7158,0.9085949659347534
1752682958.1575394,7198,0.9190320372581482
1752682958.15756,7238,0.920457661151886
1752682958.157777,7278,0.9145269989967346
1752682958.1579528,7318,0.9173375368118286
1752682958.1580994,7358,0.9175825119018555
1752682958.1582954,7398,0.9150722622871399
