time,step,loss/stage1_graspness_loss
1752682951.3225596,38,0.11397504061460495
1752682951.3233962,38,0.11468201130628586
1752682951.3235528,38,0.07964088767766953
1752682951.3236713,78,0.03488234058022499
1752682951.3242898,78,0.03246568143367767
1752682951.324401,78,0.03514443337917328
1752682951.3252633,118,0.03208516165614128
1752682951.3252802,118,0.03407582268118858
1752682951.3252926,118,0.03468857705593109
1752682951.3253033,158,0.038130078464746475
1752682951.3254447,158,0.034184735268354416
1752682951.32557,158,0.02996242046356201
1752682951.3256707,198,0.04231949895620346
1752682951.3257682,198,0.03385629504919052
1752682951.3258903,198,0.026879338547587395
1752682951.3259985,238,0.03214160352945328
1752682951.3260975,238,0.029016027227044106
1752682951.3262155,238,0.02621137909591198
1752682951.3263335,278,0.026792531833052635
1752682951.3264394,278,0.02704951912164688
1752682951.32654,278,0.021760549396276474
1752682951.3266282,318,0.027866538614034653
1752682951.3267248,318,0.02173708751797676
1752682951.3268335,318,0.019903283566236496
1752682951.3268447,358,0.026551708579063416
1752682951.3269868,358,0.020143436267971992
1752682951.3270748,358,0.017080212011933327
1752682951.3271718,398,0.023210151121020317
1752682951.327268,398,0.021803446114063263
1752682951.327353,398,0.020605573430657387
1752682951.3274388,438,0.023065611720085144
1752682951.3275342,438,0.021172411739826202
1752682951.3276327,438,0.016169054433703423
1752682951.3277297,478,0.02078104205429554
1752682951.3278248,478,0.019794201478362083
1752682951.3279188,478,0.01771336980164051
1752682951.3280277,518,0.019555961713194847
1752682951.3281052,518,0.018557075411081314
1752682951.3281999,518,0.01584487594664097
1752682951.3282936,558,0.01674671471118927
1752682951.3283877,558,0.016840755939483643
1752682951.3284712,558,0.01885070465505123
1752682951.3285656,598,0.018534062430262566
1752682951.328659,598,0.015886668115854263
1752682951.3287523,598,0.016791705042123795
1752682951.3288178,638,0.01579488068819046
1752682951.3289473,638,0.017494378611445427
1752682951.3290572,638,0.014584887772798538
1752682951.32914,678,0.015645364299416542
1752682951.3292363,678,0.018653729930520058
1752682951.3293386,678,0.016227148473262787
1752682951.3294375,718,0.016325347125530243
1752682951.3295467,718,0.014051268808543682
1752682951.3295588,758,0.01582600176334381
1752682951.3296769,758,0.017218144610524178
1752682951.3297937,798,0.016287071630358696
1752682951.3299072,798,0.015027571469545364
1752682951.3300018,838,0.013015287928283215
1752682951.3301039,838,0.013978998176753521
1752682951.3302214,878,0.015347937121987343
1752682951.3303185,878,0.014434070326387882
1752682951.3305244,918,0.016870412975549698
1752682951.3306372,918,0.014629736542701721
1752682951.3307285,958,0.012978363782167435
1752682951.3308337,958,0.01719389483332634
1752682951.3309233,998,0.01290737371891737
1752682951.3310292,998,0.014213661663234234
1752682951.3311079,1038,0.013133810833096504
1752682951.331201,1038,0.013800537213683128
1752682951.3313026,1078,0.013382518664002419
1752682951.331401,1078,0.013339070603251457
1752682951.3314867,1118,0.013335365802049637
1752682951.331591,1118,0.012381750158965588
1752682951.3317087,1158,0.014503337442874908
1752682951.3317196,1158,0.01490918081253767
1752682951.3318667,1198,0.01338345929980278
1752682951.331967,1198,0.014239074662327766
1752682951.332072,1238,0.013640779070556164
