time,step,loss/stage1_objectness_loss
1752682952.0988119,38,0.5624964237213135
1752682952.098952,38,0.5403972268104553
1752682952.0990586,38,0.558035135269165
1752682952.0991645,78,0.50523442029953
1752682952.0992682,78,0.5045568943023682
1752682952.0993702,78,0.5256337523460388
1752682952.0994709,118,0.4728776812553406
1752682952.0997021,118,0.43953320384025574
1752682952.0998082,118,0.4340604543685913
1752682952.099911,158,0.5121804475784302
1752682952.1000116,158,0.43467092514038086
1752682952.1001296,158,0.38373297452926636
1752682952.1002288,198,0.48453205823898315
1752682952.100327,198,0.4124073088169098
1752682952.1005213,198,0.38407641649246216
1752682952.1006334,238,0.4715919494628906
1752682952.1008792,238,0.38570407032966614
1752682952.1011624,238,0.3266621530056
1752682952.1012843,278,0.4160011112689972
1752682952.1014607,278,0.3581181764602661
1752682952.1014762,278,0.3126557469367981
1752682952.1014893,318,0.38862329721450806
1752682952.1016688,318,0.3724333345890045
1752682952.102084,318,0.28127649426460266
1752682952.102105,358,0.3840385973453522
1752682952.1021192,358,0.30363157391548157
1752682952.1021328,358,0.27362701296806335
1752682952.102294,398,0.3105219006538391
1752682952.1025178,398,0.2824913263320923
1752682952.1025326,398,0.272870808839798
1752682952.1025448,438,0.28020337224006653
1752682952.1025572,438,0.2691657543182373
1752682952.1028125,438,0.2521411180496216
1752682952.1028285,478,0.2878226935863495
1752682952.1028411,478,0.3322390019893646
1752682952.1031897,478,0.23273098468780518
1752682952.1032047,518,0.30886614322662354
1752682952.103217,518,0.2517518401145935
1752682952.1032295,518,0.21532873809337616
1752682952.1032426,558,0.28078070282936096
1752682952.1032555,558,0.24023078382015228
1752682952.103694,558,0.20429196953773499
1752682952.1037078,598,0.2431044578552246
1752682952.1037204,598,0.21715818345546722
1752682952.1037326,598,0.21153603494167328
1752682952.1037452,638,0.2779724895954132
1752682952.1037576,638,0.25094813108444214
1752682952.10377,638,0.22973202168941498
1752682952.10414,678,0.24190516769886017
1752682952.1041539,678,0.2557145953178406
1752682952.1041665,678,0.21543605625629425
1752682952.1041787,718,0.22405913472175598
1752682952.1041908,718,0.24277493357658386
1752682952.1044521,758,0.20250582695007324
1752682952.104466,758,0.24140089750289917
1752682952.104478,798,0.202877014875412
1752682952.1048794,798,0.22374747693538666
1752682952.104906,838,0.22280363738536835
1752682952.1049223,838,0.20897984504699707
1752682952.104936,878,0.22058476507663727
1752682952.1049495,878,0.22972698509693146
1752682952.1054773,918,0.20245936512947083
1752682952.105638,918,0.21907012164592743
1752682952.1059496,958,0.2022859901189804
1752682952.1059742,958,0.2026476263999939
1752682952.1059961,998,0.19079048931598663
1752682952.1064403,998,0.18896350264549255
1752682952.1065845,1038,0.2418702095746994
1752682952.106614,1038,0.18168877065181732
1752682952.1066344,1078,0.19644272327423096
1752682952.1066499,1078,0.20752555131912231
1752682952.106908,1118,0.19308006763458252
1752682952.1069229,1118,0.19266413152217865
1752682952.1069357,1158,0.19085171818733215
1752682952.1069486,1158,0.23726637661457062
1752682952.1071231,1198,0.19530877470970154
1752682952.1071403,1198,0.19991785287857056
1752682952.1073031,1238,0.20570793747901917
1752682952.1073189,1238,0.1982676386833191
1752682952.107479,1278,0.1817036122083664
1752682952.1074939,1278,0.20065666735172272
1752682952.1076555,1318,0.18205949664115906
1752682952.1076689,1318,0.19737978279590607
1752682952.1077952,1358,0.1788358986377716
1752682952.1079304,1358,0.1995726376771927
1752682952.1079445,1398,0.2661835849285126
1752682952.1081038,1398,0.20537137985229492
1752682952.1081138,1438,0.20075656473636627
1752682952.1082635,1438,0.15024392306804657
1752682952.108296,1478,0.19872131943702698
1752682952.1084576,1478,0.1799200475215912
1752682952.1084697,1518,0.221616730093956
1752682952.108629,1518,0.20333066582679749
1752682952.1086395,1558,0.18084095418453217
1752682952.1087587,1558,0.20848624408245087
1752682952.1088455,1598,0.1873677670955658
1752682952.1089635,1598,0.21742619574069977
1752682952.1089733,1638,0.2080441415309906
1752682952.1091192,1638,0.1896379292011261
1752682952.109129,1678,0.21542266011238098
1752682952.1092741,1678,0.19246795773506165
1752682952.1092849,1718,0.19933056831359863
1752682952.1093924,1718,0.1845579594373703
1752682952.1095102,1758,0.19462037086486816
1752682952.1095204,1758,0.18609482049942017
1752682952.1096263,1798,0.21571221947669983
1752682952.109711,1798,0.17220649123191833
1752682952.1097963,1838,0.1942472606897354
1752682952.1099536,1838,0.16794607043266296
1752682952.1100652,1878,0.18946625292301178
1752682952.1101534,1878,0.16958341002464294
1752682952.1103082,1918,0.1813962757587433
1752682952.1113584,1918,0.17656564712524414
1752682952.111532,1958,0.1760718822479248
