time,step,loss/stage3_width_loss
1752682954.549151,38,0.055591512471437454
1752682954.549174,38,0.05460676923394203
1752682954.5493567,38,0.05379071459174156
1752682954.54937,78,0.022841038182377815
1752682954.5495336,78,0.04712411016225815
1752682954.549545,78,0.029068242758512497
1752682954.5496464,118,0.018450699746608734
1752682954.549804,118,0.03323701396584511
1752682954.549815,118,0.02300969697535038
1752682954.5499644,158,0.01969808340072632
1752682954.5499754,158,0.01780274510383606
1752682954.5501356,158,0.016827644780278206
1752682954.5501506,198,0.01957622915506363
1752682954.5503387,198,0.017406398430466652
1752682954.5503502,198,0.020667366683483124
1752682954.5505056,238,0.01939510367810726
1752682954.5505168,238,0.01580163463950157
1752682954.5506918,238,0.01612674444913864
1752682954.5507064,278,0.023112917318940163
1752682954.5508895,278,0.014892283827066422
1752682954.550904,278,0.015562639571726322
1752682954.5510325,318,0.016080785542726517
1752682954.551125,318,0.01475943997502327
1752682954.5512495,318,0.014455562457442284
1752682954.5512605,358,0.016663294285535812
1752682954.551434,358,0.01495952159166336
1752682954.5514503,358,0.014582513831555843
1752682954.5516148,398,0.014631876721978188
1752682954.5516262,398,0.01488256175071001
1752682954.551769,398,0.014684859663248062
1752682954.5520124,438,0.014440038241446018
1752682954.5522077,438,0.014198019169270992
1752682954.552349,438,0.0135980024933815
1752682954.552484,478,0.014812890440225601
1752682954.5526366,478,0.013341677375137806
1752682954.5527446,478,0.014353450387716293
1752682954.5528283,518,0.013818244449794292
1752682954.5529547,518,0.013876467943191528
1752682954.552967,518,0.015088345855474472
1752682954.5530713,558,0.013341521844267845
1752682954.5531952,558,0.013233747333288193
1752682954.5532067,558,0.01472823228687048
1752682954.5533412,598,0.013928597792983055
1752682954.5533524,598,0.013542941771447659
1752682954.553481,598,0.012869508005678654
1752682954.5534923,638,0.013420318253338337
1752682954.5536191,638,0.013174622319638729
1752682954.5536299,638,0.013764781877398491
1752682954.5538259,678,0.014620420522987843
1752682954.5538402,678,0.012743359431624413
1752682954.5539873,678,0.012910988181829453
1752682954.5541284,718,0.012425396591424942
1752682954.554149,718,0.012763122096657753
1752682954.554373,758,0.012704786844551563
1752682954.5543883,758,0.013151281513273716
1752682954.554535,798,0.013055147603154182
1752682954.5545464,798,0.012862377800047398
1752682954.5546846,838,0.013466035015881062
1752682954.5546956,838,0.01208798959851265
1752682954.5548787,878,0.013322625309228897
1752682954.554896,878,0.012249914929270744
1752682954.5550725,918,0.012426592409610748
1752682954.5550883,918,0.012315250933170319
1752682954.555255,958,0.01249365322291851
1752682954.5552669,958,0.011973676271736622
1752682954.555379,998,0.012660195119678974
1752682954.5554805,998,0.01287305448204279
1752682954.5556054,1038,0.010914293117821217
1752682954.5557287,1038,0.011988422833383083
1752682954.5559561,1078,0.012583114206790924
1752682954.5559728,1078,0.011971000581979752
1752682954.5560737,1118,0.012368094176054
1752682954.5561895,1118,0.011994617059826851
1752682954.5562806,1158,0.012650800868868828
1752682954.5563989,1158,0.013839133083820343
1752682954.556497,1198,0.011237011291086674
1752682954.5566027,1198,0.010819479823112488
1752682954.5566964,1238,0.010907605290412903
1752682954.556799,1238,0.011819921433925629
1752682954.5569003,1278,0.011540352366864681
1752682954.5569994,1278,0.011593503877520561
1752682954.5571034,1318,0.012046280317008495
1752682954.5573068,1318,0.01217663288116455
1752682954.5575287,1358,0.010788136161863804
1752682954.557646,1358,0.01201714389026165
1752682954.557755,1398,0.01290051732212305
1752682954.557916,1398,0.013365088030695915
1752682954.5581174,1438,0.012578312307596207
1752682954.558132,1438,0.0111113041639328
1752682954.5581434,1478,0.01075252890586853
1752682954.5581539,1478,0.012102487497031689
1752682954.5583253,1518,0.011673817411065102
1752682954.5583384,1518,0.011327607557177544
1752682954.5585184,1558,0.010885309427976608
1752682954.558533,1558,0.01251187827438116
1752682954.5587125,1598,0.010489096865057945
1752682954.5587273,1598,0.010594228282570839
1752682954.5589237,1638,0.012266761623322964
1752682954.5589392,1638,0.011810035444796085
1752682954.5591123,1678,0.010501888580620289
1752682954.5591242,1678,0.012150507420301437
1752682954.5593119,1718,0.010373120196163654
1752682954.5593252,1718,0.012279877439141273
1752682954.5594788,1758,0.011497708037495613
1752682954.5594902,1758,0.010839974507689476
1752682954.5598555,1798,0.012241251766681671
1752682954.5601053,1798,0.010437633842229843
1752682954.5601199,1838,0.010296080261468887
1752682954.560131,1838,0.010928202420473099
1752682954.5603068,1878,0.011587950401008129
1752682954.5603209,1878,0.01151302084326744
1752682954.5604906,1918,0.011051529087126255
1752682954.560502,1918,0.011701432056725025
1752682954.560642,1958,0.01093758549541235
1752682954.5606532,1958,0.012308333069086075
1752682954.560829,1998,0.011523082852363586
1752682954.5608435,1998,0.012573301792144775
1752682954.5610023,2038,0.011330106295645237
1752682954.5610137,2038,0.01132858544588089
1752682954.5611482,2078,0.010637376457452774
1752682954.5611591,2078,0.011378800496459007
1752682954.5613337,2118,0.010501706041395664
1752682954.56136,2118,0.012363479472696781
1752682954.561519,2158,0.01104383822530508
1752682954.5615332,2158,0.010964401997625828
1752682954.5617037,2198,0.01072059664875269
1752682954.5617156,2198,0.011195965111255646
1752682954.561856,2238,0.01037659589201212
1752682954.561867,2238,0.011228911578655243
1752682954.5620065,2278,0.010299070738255978
1752682954.5620182,2278,0.011938533745706081
1752682954.562124,2318,0.010062968358397484
1752682954.5622284,2318,0.010514779016375542
1752682954.5623531,2358,0.012051365338265896
1752682954.562454,2358,0.011452455073595047
1752682954.5624647,2398,0.011549574322998524
1752682954.5628135,2398,0.011056320741772652
1752682954.5630033,2438,0.011191197670996189
1752682954.5632381,2438,0.00970622431486845
1752682954.563314,2478,0.011455077677965164
1752682954.5634506,2478,0.010781282559037209
1752682954.5635862,2518,0.011022524908185005
1752682954.5635998,2518,0.010370101779699326
