time,step,stage1_graspness_acc_rank_error
1752682955.3906121,38,0.23087023198604584
1752682955.3907888,38,0.23936066031455994
1752682955.3912656,38,0.21613077819347382
1752682955.391299,78,0.1786540001630783
1752682955.3913336,78,0.16450177133083344
1752682955.3913562,78,0.18023742735385895
1752682955.3913743,118,0.18293923139572144
1752682955.391391,118,0.17024917900562286
1752682955.3914073,118,0.19116829335689545
1752682955.3914206,158,0.17477791011333466
1752682955.3914342,158,0.17875586450099945
1752682955.3915591,158,0.16790534555912018
1752682955.3920064,198,0.1826525330543518
1752682955.3920267,198,0.16802453994750977
1752682955.392048,198,0.1580466479063034
1752682955.3920622,238,0.17230655252933502
1752682955.392076,238,0.1749509871006012
1752682955.3923674,238,0.15613484382629395
1752682955.3928287,278,0.16250495612621307
1752682955.3928468,278,0.16271209716796875
1752682955.3928614,278,0.1413356065750122
1752682955.3928757,318,0.16336694359779358
1752682955.3928895,318,0.13431517779827118
1752682955.3929033,318,0.12589861452579498
1752682955.3929174,358,0.15425151586532593
1752682955.3935726,358,0.13134948909282684
1752682955.3935907,358,0.11827698349952698
1752682955.3936057,398,0.139512836933136
1752682955.3936195,398,0.13292774558067322
1752682955.3936331,398,0.12585820257663727
1752682955.3936465,438,0.14465367794036865
1752682955.39366,438,0.13517022132873535
1752682955.3936737,438,0.11371761560440063
1752682955.393687,478,0.1359180212020874
1752682955.3937013,478,0.12430988252162933
1752682955.3941731,478,0.11933636665344238
1752682955.394209,518,0.11793777346611023
1752682955.394231,518,0.12232829630374908
1752682955.3942454,518,0.11058401316404343
1752682955.3942602,558,0.11169000715017319
1752682955.3946564,558,0.11507769674062729
1752682955.3946767,558,0.12233688682317734
1752682955.394692,598,0.1192602887749672
1752682955.3947065,598,0.1085607185959816
1752682955.3947203,598,0.11545371264219284
1752682955.3951802,638,0.10965920239686966
1752682955.395197,638,0.11198396235704422
1752682955.3952112,638,0.10259736329317093
1752682955.395225,678,0.1015554815530777
1752682955.3952389,678,0.12052619457244873
1752682955.3952532,678,0.11214197427034378
1752682955.3956447,718,0.10926199704408646
1752682955.3956666,718,0.0986146628856659
1752682955.3956823,758,0.11413171887397766
1752682955.395697,758,0.11400850117206573
1752682955.3958883,798,0.10892631858587265
1752682955.3960059,798,0.10873245447874069
1752682955.3961356,838,0.09353597462177277
1752682955.3966174,838,0.10188157111406326
1752682955.396638,878,0.10833770036697388
1752682955.3966537,878,0.10507775098085403
1752682955.396668,918,0.11588066071271896
1752682955.396682,918,0.10033772885799408
1752682955.396696,958,0.0928293988108635
1752682955.3967097,958,0.11123518645763397
1752682955.3967233,998,0.09783728420734406
1752682955.3969154,998,0.1067046970129013
1752682955.3969324,1038,0.09512193500995636
1752682955.3974483,1038,0.09722408652305603
1752682955.3974953,1078,0.09976118057966232
1752682955.3975346,1078,0.0993070974946022
1752682955.3975716,1118,0.09756042063236237
1752682955.397607,1118,0.09116006642580032
1752682955.3977768,1158,0.1015130877494812
