time,step,stage1_objectness_acc
1752682956.3383856,38,0.7162233591079712
1752682956.3387506,38,0.7039216756820679
1752682956.3387713,38,0.6949333548545837
1752682956.3387885,78,0.7307916879653931
1752682956.3388035,78,0.7551266551017761
1752682956.3390625,78,0.7355900406837463
1752682956.3392582,118,0.760640025138855
1752682956.3392773,118,0.7873550057411194
1752682956.339589,118,0.7783049941062927
1752682956.3396087,158,0.7574583292007446
1752682956.3396246,158,0.8015883564949036
1752682956.339641,158,0.842656672000885
1752682956.3398914,198,0.7544100284576416
1752682956.3399072,198,0.8117483258247375
1752682956.3399215,198,0.830156683921814
1752682956.3399363,238,0.7595700025558472
1752682956.3402145,238,0.8353733420372009
1752682956.3402326,238,0.8631250262260437
1752682956.340248,278,0.804663360118866
1752682956.340735,278,0.8425450325012207
1752682956.3407567,278,0.8653450012207031
1752682956.340773,318,0.8320033550262451
1752682956.341265,318,0.8356066942214966
1752682956.3412867,318,0.8847100138664246
1752682956.341304,358,0.8330349922180176
1752682956.3413196,358,0.8676716685295105
1752682956.3413339,358,0.8920100331306458
1752682956.3413484,398,0.8702783584594727
1752682956.3413625,398,0.8821800351142883
1752682956.341814,398,0.8874000310897827
1752682956.341833,438,0.8850550055503845
1752682956.341849,438,0.8927100300788879
1752682956.3418655,438,0.9013617038726807
1752682956.3418803,478,0.8810833692550659
1752682956.3418949,478,0.8616383671760559
1752682956.342272,478,0.90638667345047
1752682956.3422933,518,0.8812183141708374
1752682956.34231,518,0.899263322353363
1752682956.3427353,518,0.91600501537323
1752682956.3427558,558,0.8859933614730835
1752682956.3427713,558,0.9042249917984009
1752682956.3427863,558,0.9209116697311401
1752682956.3428009,598,0.9027183651924133
1752682956.3428154,598,0.9155633449554443
1752682956.3430543,598,0.9206750392913818
1752682956.3430727,638,0.8909133672714233
1752682956.3437219,638,0.8982166647911072
1752682956.343741,638,0.9095683097839355
1752682956.3437564,678,0.9076866507530212
1752682956.343771,678,0.8978883624076843
1752682956.3437848,678,0.9145866632461548
1752682956.3438146,718,0.9120583534240723
1752682956.3438356,718,0.9040449857711792
1752682956.3438518,758,0.92003333568573
1752682956.3445022,758,0.905555009841919
1752682956.3445268,798,0.9188316464424133
1752682956.344542,798,0.9093067049980164
1752682956.344554,838,0.9147250056266785
